0/2023,6:48:58,1,8,Hell's Kitchen,75,3.5,Bakery,Pastry,Croissant
144001,6/26/2023,7:55:39,1,8,Hell's Kitchen,3,14.75,Coffee beans,Espresso Beans,Espresso Roast
144002,6/26/2023,7:55:53,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg
144003,6/26/2023,7:55:53,1,5,Lower Manhattan,20,7.6,Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic
144004,6/26/2023,7:57:07,1,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
144005,6/26/2023,7:57:46,2,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
144006,6/26/2023,7:57:54,1,3,Astoria,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
144007,6/26/2023,7:58:12,2,3,Astoria,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm
144008,6/26/2023,7:58:36,1,8,Hell's Kitchen,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
144009,6/26/2023,8:00:08,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
144010,6/26/2023,8:01:15,1,8,Hell's Kitchen,49,3,Tea,Brewed Black tea,English Breakfast Lg
144011,6/26/2023,8:01:48,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
144012,6/26/2023,8:03:04,2,5,Lower Manhattan,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
144013,6/26/2023,8:03:36,1,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
144014,6/26/2023,8:04:09,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte
144015,6/26/2023,8:04:52,1,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
144016,6/26/2023,8:06:19,1,5,Lower Manhattan,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot
144017,6/26/2023,8:06:19,1,5,Lower Manhattan,73,3.75,Bakery,Pastry,Almond Croissant
144018,6/26/2023,8:06:19,1,5,Lower Manhattan,83,14,Branded,Housewares,I Need My Bean! Latte cup
144019,6/26/2023,8:06:31,1,8,Hell's Kitchen,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
144020,6/26/2023,8:06:34,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
144021,6/26/2023,8:06:37,2,3,Astoria,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
144022,6/26/2023,8:06:37,1,3,Astoria,70,3.25,Bakery,Scone,Cranberry Scone
144023,6/26/2023,8:07:07,2,3,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg
144024,6/26/2023,8:07:23,1,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg
144025,6/26/2023,8:07:29,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
144026,6/26/2023,8:07:52,3,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
144027,6/26/2023,8:08:22,1,3,Astoria,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
144028,6/26/2023,8:10:06,1,8,Hell's Kitchen,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
144029,6/26/2023,8:10:18,2,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
144030,6/26/2023,8:10:33,1,8,Hell's Kitchen,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
144031,6/26/2023,8:10:33,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone
144032,6/26/2023,8:11:07,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
144033,6/26/2023,8:11:19,1,8,Hell's Kitchen,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
144034,6/26/2023,8:12:02,3,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
144035,6/26/2023,8:12:05,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
144036,6/26/2023,8:12:38,1,8,Hell's Kitchen,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
144037,6/26/2023,8:13:11,1,8,Hell's Kitchen,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
144038,6/26/2023,8:13:13,2,3,Astoria,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
144039,6/26/2023,8:14:08,2,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte
144040,6/26/2023,8:15:17,3,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino
144041,6/26/2023,8:15:17,1,5,Lower Manhattan,65,0.8,Flavours,Sugar free syrup,Sugar Free Vanilla syrup
144042,6/26/2023,8:15:32,2,5,Lower Manhattan,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
144043,6/26/2023,8:16:05,1,3,Astoria,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
144044,6/26/2023,8:17:29,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
144045,6/26/2023,8:18:25,1,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
144046,6/26/2023,8:18:57,3,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
144047,6/26/2023,8:19:17,2,3,Astoria,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
144048,6/26/2023,8:19:22,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg
144049,6/26/2023,8:19:42,2,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte
144050,6/26/2023,8:20:06,1,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
144051,6/26/2023,8:20:17,2,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
144052,6/26/2023,8:21:05,1,5,Lower Manhattan,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
144053,6/26/2023,8:21:34,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
144054,6/26/2023,8:22:59,1,8,Hell's Kitchen,74,3.5,Bakery,Biscotti,Ginger Biscotti
144055,6/26/2023,8:23:32,1,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
144056,6/26/2023,8:24:32,2,5,Lower Manhattan,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
144057,6/26/2023,8:24:32,1,5,Lower Manhattan,70,3.25,Bakery,Scone,Cranberry Scone
144058,6/26/2023,8:24:53,1,3,Astoria,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg
144059,6/26/2023,8:24:53,1,3,Astoria,73,3.75,Bakery,Pastry,Almond Croissant
144060,6/26/2023,8:25:18,1,3,Astoria,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
144061,6/26/2023,8:25:39,2,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
144062,6/26/2023,8:25:39,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone 
144063,6/26/2023,8:26:04,2,8,Hell's Kitchen,87,2.1,Coffee,Barista Espresso,Ouro Brasileiro shot
144064,6/26/2023,8:26:04,2,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone
144065,6/26/2023,8:26:47,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
144066,6/26/2023,8:26:47,1,8,Hell's Kitchen,79,3.75,Bakery,Scone,Jumbo Savory Scone
144067,6/26/2023,8:27:37,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
144068,6/26/2023,8:28:22,3,5,Lower Manhattan,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
144069,6/26/2023,8:28:22,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone
144070,6/26/2023,8:29:42,3,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg
144071,6/26/2023,8:30:29,1,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg
144072,6/26/2023,8:30:29,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
144073,6/26/2023,8:30:31,2,3,Astoria,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
144074,6/26/2023,8:30:31,1,3,Astoria,72,3.25,Bakery,Scone,Ginger Scone
144075,6/26/2023,8:30:51,2,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
144076,6/26/2023,8:31:29,1,8,Hell's Kitchen,75,3.5,Bakery,Pastry,Croissant
144077,6/26/2023,8:32:40,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
144078,6/26/2023,8:33:40,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone 
144079,6/26/2023,8:33:42,2,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
144080,6/26/2023,8:36:29,2,3,Astoria,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
144081,6/26/2023,8:36:29,1,3,Astoria,70,3.25,Bakery,Scone,Cranberry Scone
144082,6/26/2023,8:36:48,3,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
144083,6/26/2023,8:37:04,2,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
144084,6/26/2023,8:37:10,2,8,Hell's Kitchen,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
144085,6/26/2023,8:37:24,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
144086,6/26/2023,8:37:36,1,8,Hell's Kitchen,7,19.75,Coffee beans,Premium Beans,Jamacian Coffee River
144087,6/26/2023,8:37:52,1,3,Astoria,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm
144088,6/26/2023,8:38:48,1,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg
144089,6/26/2023,8:39:36,1,8,Hell's Kitchen,49,3,Tea,Brewed Black tea,English Breakfast Lg
144090,6/26/2023,8:40:08,1,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot
144091,6/26/2023,8:40:08,1,5,Lower Manhattan,84,0.8,Flavours,Regular syrup,Chocolate syrup
144092,6/26/2023,8:40:13,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
144093,6/26/2023,8:40:13,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone
144094,6/26/2023,8:41:05,1,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
144095,6/26/2023,8:41:05,1,3,Astoria,74,3.5,Bakery,Biscotti,Ginger Biscotti
144096,6/26/2023,8:41:18,2,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
144097,6/26/2023,8:41:53,3,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg
144098,6/26/2023,8:41:53,2,5,Lower Manhattan,84,0.8,Flavours,Regular syrup,Chocolate syrup
144099,6/26/2023,8:41:53,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti
144100,6/26/2023,8:42:09,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone 
144101,6/26/2023,8:42:53,1,3,Astoria,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
144102,6/26/2023,8:43:17,1,8,Hell's Kitchen,79,3.75,Bakery,Scone,Jumbo Savory Scone
144103,6/26/2023,8:43:22,1,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
144104,6/26/2023,8:43:36,1,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
144105,6/26/2023,8:43:37,2,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
144106,6/26/2023,8:44:06,1,3,Astoria,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
144107,6/26/2023,8:44:31,1,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino
144108,6/26/2023,8:44:31,2,5,Lower Manhattan,64,0.8,Flavours,Regular syrup,Hazelnut syrup
144109,6/26/2023,8:44:40,2,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
144110,6/26/2023,8:45:34,1,5,Lower Manhattan,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
144111,6/26/2023,8:45:40,2,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
144112,6/26/2023,8:45:48,1,3,Astoria,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
144113,6/26/2023,8:46:17,1,3,Astoria,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
144114,6/26/2023,8:46:56,1,8,Hell's Kitchen,79,3.75,Bakery,Scone,Jumbo Savory Scone
144115,6/26/2023,8:47:06,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
144116,6/26/2023,8:47:42,1,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot
144117,6/26/2023,8:47:42,2,5,Lower Manhattan,65,0.8,Flavours,Sugar free syrup,Sugar Free Vanilla syrup
144118,6/26/2023,8:48:12,1,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
144119,6/26/2023,8:48:48,1,3,Astoria,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
144120,6/26/2023,8:48:53,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
144121,6/26/2023,8:48:55,1,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg
144122,6/26/2023,8:51:23,1,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
144123,6/26/2023,8:51:52,1,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
144124,6/26/2023,8:52:08,2,3,Astoria,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
144125,6/26/2023,8:52:38,3,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
144126,6/26/2023,8:52:38,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone
144127,6/26/2023,8:52:48,2,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
144128,6/26/2023,8:52:51,3,5,Lower Manhattan,87,2.1,Coffee,Barista Espresso,Ouro Brasileiro shot
144129,6/26/2023,8:52:51,3,5,Lower Manhattan,72,2.65,Bakery,Scone,Ginger Scone
144130,6/26/2023,8:52:55,2,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg
144131,6/26/2023,8:52:55,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone
144132,6/26/2023,8:55:06,1,3,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg
144133,6/26/2023,8:56:05,2,3,Astoria,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
144134,6/26/2023,8:56:23,2,8,Hell's Kitchen,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm
144135,6/26/2023,8:57:44,1,8,Hell's Kitchen,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot
144136,6/26/2023,8:57:50,1,8,Hell's Kitchen,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
144137,6/26/2023,8:58:24,1,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot
144138,6/26/2023,8:58:24,2,5,Lower Manhattan,84,0.8,Flavours,Regular syrup,Chocolate syrup
144139,6/26/2023,8:58:36,2,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg
144140,6/26/2023,8:58:54,3,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
144141,6/26/2023,9:00:53,2,8,Hell's Kitchen,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot
144142,6/26/2023,9:01:25,2,3,Astoria,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
144143,6/26/2023,9:01:37,2,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
144144,6/26/2023,9:01:59,2,3,Astoria,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
144145,6/26/2023,9:02:46,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
144146,6/26/2023,9:02:46,1,8,Hell's Kitchen,75,3.5,Bakery,Pastry,Croissant
144147,6/26/2023,9:03:29,1,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
144148,6/26/2023,9:03:29,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant
144149,6/26/2023,9:03:42,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte
144150,6/26/2023,9:03:42,2,5,Lower Manhattan,64,0.8,Flavours,Regular syrup,Hazelnut syrup
144151,6/26/2023,9:04:07,2,3,Astoria,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
144152,6/26/2023,9:04:11,1,5,Lower Manhattan,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
144153,6/26/2023,9:04:35,1,8,Hell's Kitchen,87,2.1,Coffee,Barista Espresso,Ouro Brasileiro shot
144154,6/26/2023,9:04:35,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone
144155,6/26/2023,9:06:31,2,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
144156,6/26/2023,9:07:55,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
144157,6/26/2023,9:07:55,1,3,Astoria,78,4.5,Bakery,Scone,Scottish Cream Scone 
144158,6/26/2023,9:08:19,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
144159,6/26/2023,9:08:36,1,8,Hell's Kitchen,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot
144160,6/26/2023,9:08:52,1,8,Hell's Kitchen,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
144161,6/26/2023,9:09:35,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte
144162,6/26/2023,9:09:37,2,5,Lower Manhattan,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
144163,6/26/2023,9:09:38,1,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
144164,6/26/2023,9:09:38,1,8,Hell's Kitchen,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
144165,6/26/2023,9:09:41,2,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
144166,6/26/2023,9:10:35,1,8,Hell's Kitchen,75,3.5,Bakery,Pastry,Croissant
144167,6/26/2023,9:10:40,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg
144168,6/26/2023,9:10:40,1,8,Hell's Kitchen,74,3.5,Bakery,Biscotti,Ginger Biscotti
144169,6/26/2023,9:10:42,1,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino
144170,6/26/2023,9:10:55,1,3,Astoria,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
144171,6/26/2023,9:11:25,2,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
144172,6/26/2023,9:12:14,1,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino
144173,6/26/2023,9:12:14,1,5,Lower Manhattan,63,0.8,Flavours,Regular syrup,Carmel syrup
144174,6/26/2023,9:12:14,1,5,Lower Manhattan,73,3.75,Bakery,Pastry,Almond Croissant
144175,6/26/2023,9:13:58,1,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
144176,6/26/2023,9:14:15,2,5,Lower Manhattan,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
144177,6/26/2023,9:14:39,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
144178,6/26/2023,9:14:49,2,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte
144179,6/26/2023,9:15:04,2,5,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm
144180,6/26/2023,9:16:59,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
144181,6/26/2023,9:16:59,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti
144182,6/26/2023,9:17:05,1,8,Hell's Kitchen,20,7.6,Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic
144183,6/26/2023,9:17:08,1,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
144184,6/26/2023,9:18:01,2,8,Hell's Kitchen,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
144185,6/26/2023,9:18:06,2,3,Astoria,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
144186,6/26/2023,9:18:06,1,3,Astoria,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
144187,6/26/2023,9:19:02,3,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
144188,6/26/2023,9:19:02,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti
144189,6/26/2023,9:19:05,3,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
144190,6/26/2023,9:19:05,1,5,Lower Manhattan,18,10.95,Loose Tea,Chai tea,Spicy Eye Opener Chai
144191,6/26/2023,9:22:00,2,3,Astoria,40,3.75,Coffee,Barista Espresso,Cappuccino
144192,6/26/2023,9:22:13,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone 
144193,6/26/2023,9:23:16,1,8,Hell's Kitchen,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
144194,6/26/2023,9:23:47,2,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm
144195,6/26/2023,9:24:09,1,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
144196,6/26/2023,9:24:15,3,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
144197,6/26/2023,9:25:39,3,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
144198,6/26/2023,9:25:39,1,5,Lower Manhattan,81,28,Branded,Clothing,I Need My Bean! T-shirt
144199,6/26/2023,9:26:03,3,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
144200,6/26/2023,9:26:04,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
144201,6/26/2023,9:26:14,1,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
144202,6/26/2023,9:26:38,2,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
144203,6/26/2023,9:27:51,1,3,Astoria,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
144204,6/26/2023,9:28:04,2,3,Astoria,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
144205,6/26/2023,9:28:04,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
144206,6/26/2023,9:28:36,1,3,Astoria,40,3.75,Coffee,Barista Espresso,Cappuccino
144207,6/26/2023,9:29:43,2,3,Astoria,40,3.75,Coffee,Barista Espresso,Cappuccino
144208,6/26/2023,9:30:09,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
144209,6/26/2023,9:30:51,1,8,Hell's Kitchen,69,3.25,Bakery,Biscotti,Hazelnut Biscotti
144210,6/26/2023,9:30:51,1,8,Hell's Kitchen,14,8.95,Loose Tea,Black tea,Earl Grey
144211,6/26/2023,9:31:55,2,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg
144212,6/26/2023,9:32:01,2,3,Astoria,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
144213,6/26/2023,9:32:28,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino
144214,6/26/2023,9:32:28,1,8,Hell's Kitchen,65,0.8,Flavours,Sugar free syrup,Sugar Free Vanilla syrup
144215,6/26/2023,9:33:05,1,8,Hell's Kitchen,49,3,Tea,Brewed Black tea,English Breakfast Lg
144216,6/26/2023,9:33:07,2,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
144217,6/26/2023,9:33:37,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
144218,6/26/2023,9:34:13,1,3,Astoria,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
144219,6/26/2023,9:34:43,1,8,Hell's Kitchen,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
144220,6/26/2023,9:35:34,2,5,Lower Manhattan,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
144221,6/26/2023,9:35:34,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
144222,6/26/2023,9:36:00,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
144223,6/26/2023,9:36:25,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone 
144224,6/26/2023,9:37:00,1,8,Hell's Kitchen,15,9.25,Loose Tea,Green tea,Serenity Green Tea
144225,6/26/2023,9:38:04,2,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
144226,6/26/2023,9:38:13,2,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
144227,6/26/2023,9:38:24,2,3,Astoria,45,3,Tea,Brewed herbal tea,Peppermint Lg
144228,6/26/2023,9:38:47,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
144229,6/26/2023,9:39:37,2,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
144230,6/26/2023,9:39:37,1,5,Lower Manhattan,17,9.5,Loose Tea,Chai tea,Morning Sunrise Chai
144231,6/26/2023,9:40:21,1,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
144232,6/26/2023,9:40:24,2,3,Astoria,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
144233,6/26/2023,9:40:24,1,3,Astoria,73,3.75,Bakery,Pastry,Almond Croissant
144234,6/26/2023,9:40:24,1,8,Hell's Kitchen,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
144235,6/26/2023,9:40:27,1,3,Astoria,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
144236,6/26/2023,9:40:35,3,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg
144237,6/26/2023,9:40:40,2,3,Astoria,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
